,artist_uid,event_list,num_event,fav_venue,num_event_fav_venue,start_active_year,end_active_year,event_per_year,num_year_active
237,318373,"[305452, 1458485, 1483194, 2264075, 2875794, 4524795, 7539339, 8883614, 10924975, 10954796, 11213042, 11431712, 12603320, 14860050, 16129855, 16277089]",16,Galveston Artist Residency,3,2010,2019,1.6,10
51,8347440,"[88142, 1767266, 1986309, 3385475, 3828341, 6022786, 6564930, 7696412, 10450094, 11119084, 11249191, 13614607, 13729631, 14948331, 15723825, 16018540]",16,Moody Gallery,8,2007,2015,1.78,9
2937,9731068,"[3703467, 4667402, 6812584, 7461952, 8674021, 8933241, 8988242, 9321269, 9932601, 10497814, 10835490, 12096309, 12746464, 13707527, 14881654, 15444372]",16,Darke Gallery,5,2009,2016,2.0,8
448,10703660,"[476617, 610755, 1584465, 2201650, 3224847, 3659302, 6133217, 6344304, 8348673, 8519548, 8845289, 10072115, 14425386, 14914065, 15364437, 15646909]",16,DiverseWorks,3,2010,2016,2.29,7
861,4310798,"[960577, 2347580, 2557073, 4377183, 4982214, 5310261, 6337288, 7501884, 8902509, 9198704, 9808246, 10018638, 10096352, 11049883, 13076547, 15074934]",16,Koelsch Gallery,3,2008,2015,2.0,8
745,15916817,"[841177, 936629, 1986309, 6184040, 6564930, 8452096, 8597085, 9113495, 9581206, 9932601, 13780130, 13817149, 15070665, 15421515, 16142822, 16236338]",16,Moody Gallery,9,2007,2018,1.33,12
1915,9853322,"[2264075, 2592840, 3917972, 8807822, 9152250, 9583357, 10222146, 10596714, 11296014, 11980001, 12191975, 13981298, 14405044, 15414058, 16036477, 16561246]",16,Hooks-Epstein Galleries,3,2009,2018,1.6,10
1181,12738263,"[1296619, 1962627, 2799571, 3208968, 7236052, 8547767, 8564826, 8775262, 10240498, 10547906, 11550347, 13076547, 13881333, 16336745, 16514097]",15,New Gallery/Thom Andriola,2,2007,2019,1.15,13
2433,2093700,"[2905656, 3923409, 6631599, 7116844, 7948185, 8500841, 10273263, 11345655, 11382067, 12677737, 12818194, 13894319, 14907399, 15163044, 15579843]",15,Deborah Colton Gallery,6,2008,2015,1.88,8
339,982595,"[376153, 1159178, 1194621, 2518098, 3410182, 4033587, 4153242, 4503170, 4648490, 4798110, 4883849, 6726557, 7549402, 9083739, 12777697]",15,Poissant Gallery,2,2009,2018,1.5,10
552,113093,"[589698, 3038559, 4154934, 5570138, 6603474, 8428178, 8564783, 8666921, 9003193, 9867682, 10571016, 15671052, 15965435, 15975019, 16555691]",15,Inman Gallery,8,2007,2017,1.36,11
465,14544236,"[508972, 2617946, 2850110, 5545080, 5586646, 5708842, 6178340, 11487975, 11697401, 11739622, 11783369, 11916113, 12027137, 12375445, 15832001]",15,Station Museum of Contemporary Art,3,2008,2015,1.88,8
958,9945760,"[1046141, 2052944, 2878780, 3375919, 3632031, 4322708, 6011115, 6607497, 7111287, 7981974, 8399978, 11099420, 13782492, 14912373, 16306498]",15,Avant Garden,2,2008,2016,1.67,9
1213,10418764,"[1337207, 2442965, 4807594, 5194651, 5910011, 9616549, 10272421, 10927172, 10986093, 12737661, 13276688, 14542265, 16187968, 16264941, 16281917]",15,Spacetaker Gallery,1,2010,2016,2.14,7
495,12612783,"[535862, 1205996, 1521188, 2275282, 3074007, 3755311, 4865451, 8634010, 10981552, 11031763, 13007159, 13176297, 14309602, 15760908, 16504002]",15,Art League Houston,3,2007,2017,1.36,11
713,11095551,"[779288, 916687, 1483194, 2597344, 3157377, 4340684, 4724099, 10954796, 11279829, 11578727, 13515061, 13642187, 14105678, 16131520]",14,Zoya Tommy Contemporary,4,2008,2016,1.56,9
1074,1864704,"[1148100, 2309914, 3324796, 5045143, 5193242, 5586646, 7117900, 7534000, 7548546, 7649397, 11264626, 13532325, 14161856, 16632462]",14,McClain Gallery,7,2008,2014,2.0,7
492,10476039,"[535862, 709785, 1298583, 1521188, 1584465, 4248454, 6407682, 8845289, 10229489, 10585285, 11031763, 12473707, 12881625, 15197621]",14,DiverseWorks,3,2008,2017,1.4,10
157,5434812,"[168992, 1483194, 2697974, 3524717, 6611748, 6652141, 7841808, 8851509, 10954796, 11702349, 11959560, 13076547, 13515061, 13532299]",14,The Gallery (HCC Central),2,2010,2015,2.33,6
728,16490561,"[819381, 1209178, 2264075, 3253883, 3632031, 4340684, 5089178, 6184040, 8348673, 8851509, 10569750, 12452855, 13614607, 15887111]",14,Art League Houston,2,2008,2017,1.4,10
2298,15919988,"[2716646, 4014479, 4081002, 4620162, 5654023, 5815809, 6794049, 7616590, 8619841, 12100237, 12304958, 14217688, 14652713, 15897002]",14,DiverseWorks,2,2007,2018,1.17,12
338,4358610,"[375349, 769612, 779288, 3109004, 3909040, 6864785, 7815423, 8630009, 9915945, 10085733, 10924975, 12076260, 13173366, 15684757]",14,Zoya Tommy Contemporary,2,2009,2018,1.4,10
66,13842267,"[95014, 1439349, 2201650, 3062490, 5148929, 5995863, 6184040, 6630010, 6631448, 8471880, 12100107, 13688663, 13800281, 16473020]",14,Art Palace,6,2010,2017,1.75,8
389,7329330,"[406940, 1962292, 3582421, 4349537, 4442493, 6352243, 8531246, 10454496, 11643786, 12884530, 13479695, 14599088, 15077568, 15963930]",14,Devin Borden Gallery,5,2007,2019,1.08,13
986,2159716,"[1074810, 2161161, 2237721, 2678287, 2959127, 5224576, 6238634, 9390508, 9948804, 10954796, 11603799, 13344310, 13515061, 16568165]",14,d. m. allison,3,2007,2019,1.08,13
422,11035999,"[453265, 570398, 1908811, 2130309, 4153242, 5506264, 6184040, 7108206, 7204233, 10287620, 11670011, 14189882, 15126141, 15582131]",14,Art Palace,3,2007,2016,1.4,10
344,10518136,"[377066, 4136788, 4415365, 5310414, 6492896, 8348673, 8382289, 10213210, 10243908, 10373575, 11630615, 13872695, 14858125]",13,Hooks-Epstein Galleries,4,2009,2017,1.44,9
734,5397302,"[830057, 2697974, 4656335, 6352243, 7841808, 8171549, 8841076, 9264887, 10124409, 10531690, 10901854, 11383762, 12522768]",13,Devin Borden Gallery,3,2007,2018,1.08,12
88,524680,"[114598, 2201650, 4643510, 6322373, 7853236, 8081800, 8443388, 10247175, 10850973, 11440529, 13379588, 13885042, 14850830]",13,Rudolph Blume Fine Art | ArtScan Gallery,5,2007,2018,1.08,12
142,7293531,"[141062, 2197814, 2227139, 5617762, 7896571, 8564783, 9677972, 9867682, 10806628, 10914646, 13950424, 14527678, 15671052]",13,Inman Gallery,7,2008,2018,1.18,11
81,8690027,"[102209, 1974794, 2160663, 2398030, 2621609, 3452237, 5194651, 6266155, 7594515, 7988091, 12024221, 14649176, 15659817]",13,Anya Tish Gallery,4,2010,2018,1.44,9
987,6113376,"[1074810, 5040428, 5310414, 9113495, 9860299, 9944928, 10110706, 11286545, 11773384, 14732201, 15013407, 15075725, 15314045]",13,d. m. allison,3,2007,2018,1.08,12
460,4889717,"[508972, 830057, 1298583, 5989519, 6637719, 9941858, 11837468, 12167488, 12435359, 13156568, 13749483, 13969960, 15969907]",13,Contemporary Arts Museum Houston,2,2007,2014,1.62,8
1725,9124457,"[1974794, 2822906, 5060921, 7371274, 9203148, 9584979, 11962192, 14970047, 15188880, 15364437, 15556347, 15659817, 16147030]",13,East End Studio Gallery,7,2011,2015,2.6,5
3336,7481782,"[4415365, 5091121, 5441658, 5619253, 7653778, 9038734, 11432382, 11865130, 11897207, 14144251, 15242307, 15907700, 16136733]",13,Sicardi | Ayers | Bacino,8,2007,2018,1.08,12
207,12620640,"[258026, 531185, 1629226, 2143030, 2264075, 4074507, 6682477, 9795124, 10036426, 13074678, 13112778, 13852788, 14322988]",13,4th Floor Projects Gallery (UH),2,2010,2019,1.3,10
1516,13176807,"[1702178, 1921565, 3151231, 5533745, 5586646, 5728172, 7572484, 8831975, 9181295, 10434079, 12638741, 12940040, 16196898]",13,Barbara Davis Gallery,4,2008,2019,1.08,12
517,15464849,"[554487, 1168725, 2353781, 2480190, 2703182, 3186239, 5543265, 7102397, 8260217, 9181393, 9422857, 14640347, 16532033]",13,Peveto,2,2008,2014,1.86,7
1628,13631107,"[1871771, 2345741, 2437469, 5350956, 7545487, 7986261, 8944259, 12214061, 12469712, 13698207, 15339196, 16122778, 16767655]",13,Barbara Davis Gallery,13,2007,2019,1.0,13
1095,13833902,"[1180578, 1322070, 2143030, 2389098, 2422534, 4369864, 4761923, 5153843, 7160046, 12066217, 12765771, 14322988, 16592837]",13,Art Palace,4,2013,2018,2.17,6
510,2636456,"[551509, 2582170, 3109004, 5078560, 5827356, 6107324, 7948185, 11049883, 11765154, 12870884, 13076547, 13894319, 14928689]",13,Gallery Sonja Roesch,2,2007,2019,1.0,13
1859,15489542,"[2143030, 3161206, 3242984, 4369864, 4630060, 5893389, 6272445, 7160046, 9004508, 9081710, 10682278, 14322988, 14501389]",13,4th Floor Projects Gallery (UH),2,2010,2019,1.3,10
349,10156153,"[380195, 911259, 1298583, 5870081, 6524124, 6673162, 8262290, 8955860, 9907991, 10136333, 10719150, 14060282, 15760908]",13,Project Row Houses,3,2007,2018,1.08,12
1080,11508307,"[1157840, 3792413, 4785675, 5000181, 6568911, 10469671, 10655566, 11060885, 12032458, 13792763, 14513491, 15389812]",12,DiverseWorks,3,2012,2017,2.0,6
297,4099215,"[358317, 1940978, 4957813, 5208856, 5430930, 6591325, 6789966, 7968950, 12393283, 13017583, 16290878, 16412636]",12,Aurora Picture Show,2,2010,2015,2.0,6
595,3927934,"[634685, 2321917, 3016337, 4293656, 5000181, 5737636, 5807047, 8807936, 12355031, 12790728, 12884390, 15909783]",12,DiverseWorks,7,2012,2014,4.0,3
900,7010360,"[1001815, 1923509, 2384852, 6042941, 6267488, 9786141, 10564392, 10638868, 12603320, 13712402, 14784308, 16154733]",12,College of the Mainland Art Gallery (CoM),3,2010,2018,1.33,9
960,13928205,"[1046141, 2130065, 5891510, 5932108, 9792521, 11282335, 11345655, 11962192, 13080928, 13634108, 13733478, 15664494]",12,El Rincon Social,3,2011,2018,1.5,8
205,10490059,"[253828, 440135, 1159178, 5357399, 8239070, 8907677, 10555714, 11289324, 11529554, 13466697, 13755351, 14058419]",12,Devin Borden Gallery,3,2007,2017,1.09,11
736,16102082,"[830057, 1120170, 1838791, 2709811, 5445137, 8582064, 9480792, 12326358, 13122787, 13894319, 16016714, 16160543]",12,Devin Borden Gallery,4,2007,2015,1.33,9
107,15445174,"[122454, 746878, 3405183, 5445008, 7371748, 9089463, 9189544, 10271433, 11450471, 14054302, 15669471, 15705471]",12,"Museum of Fine Arts, Houston (MFAH)",6,2007,2017,1.09,11
1444,14517170,"[1584465, 2201650, 2878780, 3086528, 5807047, 6133217, 8845289, 10245886, 10932253, 12032458, 14907399, 16108521]",12,DiverseWorks,4,2007,2015,1.33,9
2197,9669891,"[2589039, 4084095, 6001803, 6827328, 8218534, 8423050, 10052682, 10603749, 11901304, 12170689, 15963930, 16570231]",12,Winter Street Studios,2,2009,2015,1.71,7
743,3508869,"[841177, 1042980, 1669954, 2798004, 4721932, 5274687, 6184040, 7244082, 10030796, 11973600, 12027137, 14323135]",12,Texas Gallery,3,2008,2019,1.0,12
164,1131213,"[181169, 3702961, 4738364, 5654910, 5723707, 5971421, 6718445, 7948185, 9545833, 9932601, 11331698, 12818194]",12,Wade Wilson Art,3,2008,2019,1.0,12
889,7721876,"[997065, 1891043, 2264075, 3851098, 7018707, 7117900, 7204233, 8539280, 9622325, 11264626, 13003724, 13076547]",12,McClain Gallery,5,2007,2015,1.33,9
247,10905279,"[310956, 913828, 1483194, 6631599, 7920156, 8600775, 10564392, 11113912, 12024221, 12348558, 13112778, 14483235]",12,Lawndale Art Center,3,2009,2013,2.4,5
1864,1509293,"[2167814, 2621609, 2734798, 3109004, 4146665, 4708864, 5194651, 9355400, 11031188, 15659817, 15664494, 15904741]",12,Caroline Collective,2,2011,2019,1.33,9
942,4686535,"[1042980, 1557345, 1905605, 4488057, 6611748, 8171549, 10205495, 11534110, 13074678, 14382765, 15734336, 16416158]",12,PG Contemporary,3,2009,2016,1.5,8
1042,1166052,"[1132310, 4160635, 4340684, 4667402, 5841611, 7031480, 9932601, 11056280, 11272240, 11578727, 14883220, 14913938]",12,McMurtrey Gallery,5,2008,2019,1.0,12
1722,1726262,"[1974794, 5060921, 7015090, 8423050, 8478084, 8665397, 9203148, 9584979, 10531690, 11962192, 14599088, 15659817]",12,East End Studio Gallery,6,2009,2015,1.71,7
161,10557274,"[168992, 535862, 1298583, 1521188, 1584465, 2201650, 2968399, 6046664, 7755060, 8845289, 12264407, 15760908]",12,DiverseWorks,3,2011,2015,2.4,5
464,12438234,"[508972, 1115368, 1137605, 3373189, 4842772, 5310414, 6003341, 6677403, 10489599, 12738096, 13042802, 13869011]",12,Bea Ying Projects Pop-Up Gallery,2,2007,2018,1.0,12
2590,16737711,"[3109004, 3440467, 3908178, 8377870, 11380348, 12119618, 13530984, 14111015, 14268142, 15075018, 16369170, 16639192]",12,Aurora Picture Show,3,2010,2019,1.2,10
851,5509538,"[936629, 1235705, 2384852, 3109004, 4057831, 6682477, 7771888, 11808706, 12258182, 13087520, 13894319, 14784308]",12,BOX 13 ArtSpace,2,2010,2019,1.2,10
932,16396956,"[1025367, 2617946, 3830099, 3882881, 6184040, 7040965, 9932601, 10671158, 12724353, 12981198, 15828711, 16036477]",12,G Gallery,3,2009,2015,1.71,7
1748,7760678,"[2032458, 3109004, 3932026, 5989519, 6133217, 7920156, 8718147, 9055128, 11804048, 12390897, 15074934]",11,Nau-haus,1,2008,2018,1.0,11
555,7119277,"[596805, 3813167, 5615137, 6001803, 6237239, 6266667, 8512415, 8897084, 10562212, 11345655, 13483092]",11,Burning Bones Press,2,2009,2016,1.38,8
1909,12064703,"[2255576, 2406848, 2878780, 3501609, 5458742, 7061273, 7066293, 9169460, 10638868, 10932253, 15887111]",11,Texas Gallery,2,2009,2018,1.1,10
2593,14496034,"[3118752, 4880214, 5146984, 5229779, 6722704, 10330734, 11240450, 11593577, 12754571, 13003180, 14367159]",11,Catherine Couturier Gallery,3,2007,2016,1.1,10
1259,7434581,"[1393031, 1986309, 3882436, 7401702, 8570531, 8666921, 10455728, 10497814, 12303316, 15723825, 15911880]",11,Moody Gallery,8,2007,2018,0.92,12
84,3833833,"[112675, 3069189, 3822016, 4199733, 6284519, 7516576, 8199208, 10449306, 12175147, 16406302, 16554399]",11,Hiram Butler Gallery,4,2008,2019,0.92,12
642,12856821,"[710643, 2449527, 2716646, 4335135, 6338606, 10030796, 10586974, 11330757, 11413719, 14526465, 15020909]",11,Texas Gallery,3,2007,2018,0.92,12
1043,5967189,"[1133907, 5458742, 6184040, 6682477, 7853236, 7920156, 8348673, 9051794, 14652713, 14784308, 15528864]",11,Rudolph Blume Fine Art | ArtScan Gallery,2,2009,2013,2.2,5
915,16708982,"[1019987, 1074810, 1871198, 8474965, 10531690, 12317354, 13250025, 13955793, 14676164, 15314045, 15828711]",11,d. m. allison,3,2007,2016,1.1,10
4431,4583410,"[6346347, 7525202, 7723345, 8958330, 10273698, 11543132, 13215342, 13894319, 14105678, 14676537, 14747428]",11,Alliance Gallery (Houston Arts Alliance),2,2011,2019,1.22,9
5,3441064,"[15964, 741680, 2365337, 4357446, 5570138, 6272140, 8738164, 9003193, 10136333, 10924975, 13421798]",11,Inman Gallery,6,2007,2019,0.85,13
30,10200834,"[51930, 121032, 732135, 2964982, 3912705, 4271488, 5194651, 6133217, 9240384, 10932253, 13087198]",11,Talento Bilingue de Houston TBH Center,4,2008,2014,1.57,7
703,12087807,"[764926, 5076592, 5399253, 9113495, 9256318, 9390508, 9421966, 10671087, 10854106, 13323318, 15723825]",11,Moody Gallery,5,2007,2016,1.1,10
1094,5509787,"[1166685, 1384552, 2661957, 3221081, 3855218, 6125058, 9435631, 10219550, 10398968, 14331667, 16371610]",11,Cardoza Fine Art,2,2008,2019,0.92,12
273,13375152,"[339072, 1046499, 2384852, 3420158, 4667402, 6534874, 6682477, 8033292, 8348673, 14784308, 14928689]",11,Rudolph Blume Fine Art | ArtScan Gallery,2,2007,2017,1.0,11
1336,3920185,"[1483194, 2732872, 2964610, 4796006, 5248569, 8097883, 8171549, 13001964, 15228561, 15689056, 16182368]",11,BOX 13 ArtSpace,2,2007,2017,1.0,11
89,15473882,"[115075, 1042980, 1207222, 1905794, 2798004, 7549402, 9808037, 9947466, 12387068, 15887198, 16162944]",11,Hiram Butler Gallery,5,2007,2018,0.92,12
1227,7453606,"[1356180, 2519724, 4667402, 6264023, 7061273, 7698759, 8442681, 9435631, 12023408, 12746464, 12955685]",11,Devin Borden Gallery,4,2010,2017,1.38,8
3183,16583560,"[4153242, 6121545, 7040869, 10662205, 11503624, 11915763, 12287079, 12940040, 14695261, 15384815, 15755289]",11,Barbara Davis Gallery,10,2008,2018,1.0,11
1462,5005591,"[1621834, 2541584, 3152040, 5013690, 8457641, 10047433, 12269551, 12754571, 14091548, 15393354, 15975019]",11,McMurtrey Gallery,4,2008,2018,1.0,11
395,8258016,"[421370, 508972, 1137605, 5310414, 6003341, 6677403, 9213816, 9474444, 11862634, 13042802, 13869011]",11,Fifth Ward Jam,1,2007,2016,1.1,10
1456,14097142,"[1610986, 4759803, 6682477, 12207580, 14498298, 14709874, 14850830, 15725171, 16012647, 16436342, 16503350]",11,Hello Lucky,6,2008,2010,3.67,3
72,9674672,"[100093, 667006, 4064833, 4340684, 4674062, 6919038, 7930135, 10678372, 12275361, 12782712]",10,Williams Tower Gallery,2,2010,2017,1.25,8
509,2288266,"[551509, 3109004, 4352403, 4698077, 6533170, 7784816, 12828641, 14192008, 15572656, 16038474]",10,Gallery Sonja Roesch,7,2010,2017,1.25,8
524,4638584,"[560175, 3265434, 5094319, 5527305, 6975089, 7616590, 9635934, 10124409, 14413898, 14431343]",10,Lawndale Art Center,2,2010,2019,1.0,10
