,event_uid,venue_uid,start_date,end_date,artist_list,num_artist,venue,coordinates,address,city,zip,url
38,3971002,10137684,2018-11-03,2018-11-03,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
39,4221663,10137684,2018-06-01,2018-09-02,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
40,4498438,10137684,2017-11-18,2017-11-18,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
41,4637535,10137684,2017-06-03,2017-06-03,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
42,4648490,10137684,2010-05-05,2010-09-04,[982595],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
43,4844439,10137684,2014-05-30,2014-09-07,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
44,5244385,10137684,2010-03-27,2010-07-02,"[78542, 6690357, 14908556]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
45,5547187,10137684,2013-05-31,2013-09-08,"[14201603, 14995780]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
46,5685842,10137684,2009-10-02,2009-12-24,[7000601],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
47,5782872,10137684,2009-04-03,2009-07-03,"[535299, 3929397, 5270537, 9970426, 14331985, 15863125, 16307491]",7,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
48,5960540,10137684,2015-07-18,2015-07-18,[10651933],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
49,6006659,10137684,2019-05-31,2019-09-01,[3444966],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
50,6218766,10137684,2017-09-22,2018-01-07,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
51,6265026,10137684,2013-04-05,2013-05-26,"[2058094, 12720590, 15279537]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
52,6335924,10137684,2015-05-09,2015-08-29,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
53,6358149,10137684,2019-02-02,2019-05-12,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
54,6448144,10137684,2008-08-29,2008-11-30,"[1026811, 1243167, 3165152, 4041052, 6711442, 7486768, 8538337, 14531882]",8,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
55,6726557,10137684,2015-04-11,2015-04-11,"[982595, 2300196]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
56,6726711,10137684,2012-06-02,2012-09-01,"[2872910, 12672712]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
57,7113627,10137684,2018-07-27,2018-10-07,[14992334],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
58,7135854,10137684,2019-05-11,2019-05-11,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
59,7347351,10137684,2015-09-12,2015-12-27,"[1423335, 2522136]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
60,7517588,10137684,2011-04-09,2011-06-12,[2505034],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
61,7587366,10137684,2017-05-26,2017-07-29,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
62,7627244,10137684,2007-06-30,2007-09-23,"[7155379, 10301594, 11439680]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
63,7765923,10137684,2018-10-13,2019-01-13,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
64,7801515,10137684,2012-02-04,2012-04-08,[10489729],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
65,7935548,10137684,2019-09-27,2020-01-05,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
66,8266892,10137684,2017-02-03,2017-05-28,[5151174],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
67,8294388,10137684,2015-02-06,2015-04-26,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
68,8416639,10137684,2014-04-04,2014-05-25,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
69,8564826,10137684,2007-11-08,2007-11-08,"[2484536, 6274161, 6645382, 11211005, 12738263]",5,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
70,8610202,10137684,2012-10-20,2012-12-23,[15971853],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
71,8681259,10137684,2013-01-25,2013-05-05,"[2123197, 4869900, 8555399]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
72,8844439,10137684,2017-11-04,2017-11-04,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
73,9382136,10137684,2014-01-09,2014-01-09,"[9699256, 10444290]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
74,9389695,10137684,2012-11-03,2012-11-03,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
75,9419877,10137684,2018-03-03,2018-03-03,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
76,9536864,10137684,2018-01-13,2018-01-13,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
77,9573476,10137684,2012-04-14,2012-06-10,[9474201],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
78,9623400,10137684,2015-11-07,2015-11-07,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
79,9637005,10137684,2015-09-18,2016-01-03,[4597971],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
80,9808246,10137684,2009-10-29,2010-01-10,"[1110498, 4310798, 7741609, 8166547, 14804378]",5,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
81,9917335,10137684,2019-02-02,2019-05-12,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
82,9919380,10137684,2013-01-25,2013-05-25,"[4080924, 12672712]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
83,9926127,10137684,2012-08-18,2012-10-14,"[13398326, 15338923]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
84,10127180,10137684,2009-08-29,2009-10-25,[1286164],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
85,10186588,10137684,2013-04-05,2013-05-26,"[12720590, 15279537]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
86,10263449,10137684,2016-02-05,2016-05-08,[1581070],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
87,10288420,10137684,2014-12-13,2014-12-13,"[3692379, 10851676]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
88,10421733,10137684,2014-05-30,2014-09-07,[10867715],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
89,10456742,10137684,2019-01-12,2018-01-12,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
90,10547906,10137684,2008-07-10,2008-09-14,"[1483986, 2458002, 2484536, 6274161, 6645382, 8097785, 8862816, 10057483, 11211005, 12738263, 15111069, 16241360]",12,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
91,10748350,10137684,2010-01-16,2010-05-16,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
92,11276023,10137684,2016-01-02,2016-01-02,[6892215],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
93,11360607,10137684,2014-03-28,2014-03-30,[15710412],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
94,11457807,10137684,2010-09-25,2010-12-30,"[277714, 564836, 8387467]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
95,11620940,10137684,2017-01-14,2017-01-14,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
96,11660780,10137684,2014-12-02,2014-12-14,"[10651933, 13461500, 13512833, 14026022]",4,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
97,11698505,10137684,2019-03-15,2019-06-02,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
98,11792409,10137684,2012-07-14,2012-07-14,"[3692379, 14412959, 15592590]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
99,11806274,10137684,2010-12-09,2011-01-30,"[55382, 696044, 6792335, 11478979, 12199066, 13536785]",6,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
100,11838666,10137684,2019-02-02,2019-05-12,[5569144],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
101,11965767,10137684,2016-12-10,2016-12-10,[14331770],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
102,12357264,10137684,2018-01-26,2018-04-15,[14859060],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
103,12372739,10137684,2013-01-25,2013-03-31,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
104,12388504,10137684,2016-09-23,2017-01-08,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
105,12444838,10137684,2008-12-12,2009-03-15,"[3079332, 6293522, 7282302, 15245016]",4,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
106,12719959,10137684,2015-05-29,2015-08-29,"[1350817, 4958528, 16653414]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
107,12866400,10137684,2011-03-25,2011-05-15,[1837983],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
108,12968776,10137684,2013-10-04,2013-01-19,[12224071],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
109,12971196,10137684,2011-10-01,2011-12-04,"[55382, 696044, 1698318, 6792335, 10518509, 12199066, 12221957]",7,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
110,13152898,10137684,2017-03-04,2017-03-04,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
111,13153962,10137684,2016-11-05,2016-11-05,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
112,13173366,10137684,2010-07-10,2010-09-04,"[1859739, 2252161, 4358610, 9476232, 13634332, 15071837]",6,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
113,13205758,10137684,2009-10-02,2009-12-24,[7447543],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
114,13397189,10137684,2011-10-01,2012-01-08,[12672712],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
115,13474762,10137684,2013-05-31,2013-09-08,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
116,13546073,10137684,2016-09-02,2017-01-15,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
117,13711716,10137684,2016-02-05,2016-05-08,"[11542273, 11881331]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
118,13925613,10137684,2016-08-11,2016-08-11,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
119,14015853,10137684,2017-03-31,2017-05-20,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
120,14220944,10137684,2011-06-04,2011-07-30,[8734971],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
121,14445509,10137684,2012-02-04,2012-05-13,"[3103624, 5134663]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
122,14465565,10137684,2008-11-20,2008-11-20,"[3804243, 4356577, 5849272, 7207911, 8097785, 9664402, 12549731]",7,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
123,14467839,10137684,2012-02-04,2012-05-13,[2499548],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
124,14513622,10137684,2007-03-31,2007-06-17,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
125,14520294,10137684,2016-12-17,2016-12-17,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
126,14755739,10137684,2015-02-06,2015-05-10,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
127,14811015,10137684,2011-12-10,2012-01-29,[7726156],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
128,14954621,10137684,2012-06-02,2012-09-01,"[6716369, 16623614]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
129,15017340,10137684,2013-01-25,2013-05-05,[4080924],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
130,15018263,10137684,2009-07-18,2009-09-13,"[908879, 3195145, 14941285]",3,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
131,15021774,10137684,2017-01-20,2017-03-18,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
132,15569467,10137684,2017-08-04,2017-10-28,[14236250],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
133,15766076,10137684,2013-10-24,2013-10-24,"[5083459, 12651113]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
134,16340237,10137684,2018-09-28,2019-01-06,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
135,16367036,10137684,2017-07-15,2017-07-15,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
136,16505586,10137684,2015-09-18,2015-01-03,[2439633],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
137,16633971,10137684,2018-04-20,2018-07-14,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
138,13228,13371986,2012-04-25,2012-04-25,"[3079814, 15368376]",2,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
139,168992,13371986,2012-03-31,2012-06-24,"[661185, 3003553, 3079814, 5434812, 7129157, 8229949, 9421025, 10557274, 14058197]",9,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
140,312448,13371986,2013-08-08,2013-08-08,0,0,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
141,380195,13371986,2015-02-27,2015-06-21,"[10156153, 10594333]",2,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
142,696329,13371986,2008-08-28,2008-08-31,"[1901737, 8619372, 8906255, 10922589, 11409917, 14542058, 15628129]",7,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
143,707758,13371986,2018-06-03,2018-08-12,0,0,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
144,1157840,13371986,2015-02-07,2015-02-07,"[170349, 5533509, 8334438, 11317508, 11508307, 14678409]",6,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
145,1287447,13371986,2016-05-17,2016-05-17,"[829537, 3944472, 9400533, 14005464, 16306942]",5,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
146,1426629,13371986,2012-12-08,2012-12-08,"[170349, 12503123]",2,Project Row Houses,"29.7319444081633,-95.3652960612245",2521 Holman Street,Houston,77004.0,www.projectrowhouses.org
